2015-08-29 17:33:38,977 - Velocimacro : allowInline = true : VMs can be defined inline in templates
2015-08-29 17:33:38,977 - Velocimacro : allowInlineToOverride = false : VMs defined inline may NOT replace previous VM definitions
2015-08-29 17:33:38,977 - Velocimacro : allowInlineLocal = false : VMs defined inline will be global in scope if allowed.
2015-08-29 17:33:38,977 - Velocimacro : autoload off : VM system will not automatically reload global library macros
2015-08-29 17:33:38,977 - Velocimacro : Velocimacro : initialization complete.
2015-08-29 17:33:38,977 - RuntimeInstance successfully initialized.
2015-08-29 17:33:38,998 - ResourceManager : found kate.vm with loader org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader
2015-08-29 17:33:39,010 - Null reference [template 'kate.vm', line 31, column 83] : $cmment.getRight() cannot be resolved.
2015-08-29 17:33:49,851 - Log4JLogChute initialized using file 'velocity.log'
2015-08-29 17:33:49,851 - The version of log4j being used does not support the "trace" level.
2015-08-29 17:33:49,851 - Initializing Velocity, Calling init()...
2015-08-29 17:33:49,851 - *******************************************************************
2015-08-29 17:33:49,851 - Starting Apache Velocity v1.7 (compiled: 2010-11-19 12:14:37)
2015-08-29 17:33:49,851 - RuntimeInstance initializing.
2015-08-29 17:33:49,851 - Default Properties File: org/apache/velocity/runtime/defaults/velocity.properties
2015-08-29 17:33:49,851 - Trying to use logger class org.apache.velocity.runtime.log.AvalonLogChute
2015-08-29 17:33:49,851 - Target log system for org.apache.velocity.runtime.log.AvalonLogChute is not available (java.lang.NoClassDefFoundError: org/apache/log/format/Formatter).  Falling back to next log system...
2015-08-29 17:33:49,851 - Trying to use logger class org.apache.velocity.runtime.log.Log4JLogChute
2015-08-29 17:33:49,851 - Using logger class org.apache.velocity.runtime.log.Log4JLogChute
2015-08-29 17:33:49,853 - Default ResourceManager initializing. (class org.apache.velocity.runtime.resource.ResourceManagerImpl)
2015-08-29 17:33:49,854 - ResourceLoader instantiated: org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader
2015-08-29 17:33:49,854 - ClasspathResourceLoader : initialization complete.
2015-08-29 17:33:49,863 - ResourceCache: initialized (class org.apache.velocity.runtime.resource.ResourceCacheImpl) with class java.util.Collections$SynchronizedMap cache map.
2015-08-29 17:33:49,863 - Default ResourceManager initialization complete.
2015-08-29 17:33:49,864 - Loaded System Directive: org.apache.velocity.runtime.directive.Stop
2015-08-29 17:33:49,865 - Loaded System Directive: org.apache.velocity.runtime.directive.Define
2015-08-29 17:33:49,866 - Loaded System Directive: org.apache.velocity.runtime.directive.Break
2015-08-29 17:33:49,868 - Loaded System Directive: org.apache.velocity.runtime.directive.Evaluate
2015-08-29 17:33:49,868 - Loaded System Directive: org.apache.velocity.runtime.directive.Literal
2015-08-29 17:33:49,869 - Loaded System Directive: org.apache.velocity.runtime.directive.Macro
2015-08-29 17:33:49,870 - Loaded System Directive: org.apache.velocity.runtime.directive.Parse
2015-08-29 17:33:49,871 - Loaded System Directive: org.apache.velocity.runtime.directive.Include
2015-08-29 17:33:49,872 - Loaded System Directive: org.apache.velocity.runtime.directive.Foreach
2015-08-29 17:33:49,893 - Created '20' parsers.
2015-08-29 17:33:49,897 - Velocimacro : initialization starting.
2015-08-29 17:33:49,897 - Velocimacro : "velocimacro.library" is not set.  Trying default library: VM_global_library.vm
2015-08-29 17:33:49,898 - Could not load resource 'VM_global_library.vm' from ResourceLoader org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader: ClasspathResourceLoader Error: cannot find resource VM_global_library.vm
2015-08-29 17:33:49,898 - Velocimacro : Default library not found.
2015-08-29 17:33:49,898 - Velocimacro : allowInline = true : VMs can be defined inline in templates
2015-08-29 17:33:49,898 - Velocimacro : allowInlineToOverride = false : VMs defined inline may NOT replace previous VM definitions
